symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,price_binned,diesel,gas,normalized_length,normalized_width,normalized_height
3,194.0,nissan,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,17199,12.368421052631579,9.4,Low,0,1,-0.2841215125296586,0.956922768427235,-1.661340734211304
3,194.0,nissan,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,17,23,19699,13.823529411764707,10.217391304347826,Median,0,1,-0.2841215125296586,0.956922768427235,-1.661340734211304
1,231.0,nissan,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,18399,12.368421052631579,9.4,Low,0,1,0.34888361372296667,0.956922768427235,-1.661340734211304
0,161.0,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,11900,12.368421052631579,9.791666666666666,Low,0,1,1.0143505413218785,1.1948513637437503,1.1983441361523837
0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,13200,8.392857142857142,7.121212121212121,Low,1,0,1.0143505413218785,1.1948513637437503,1.1983441361523837
0,,peugot,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,12440,12.368421052631579,9.791666666666666,Low,0,1,2.004435482383677,1.1948513637437503,2.0153969562562946
0,,peugot,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,25,25,13860,9.4,9.4,Low,1,0,2.004435482383677,1.1948513637437503,2.0153969562562946
0,161.0,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,19,24,15580,12.368421052631579,9.791666666666666,Low,0,1,1.0143505413218785,1.1948513637437503,1.1983441361523837
0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,16900,8.392857142857142,7.121212121212121,Low,1,0,1.0143505413218785,1.1948513637437503,1.1983441361523837
0,,peugot,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,19,24,16695,12.368421052631579,9.791666666666666,Low,0,1,2.004435482383677,1.1948513637437503,1.1983441361523837
0,,peugot,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,25,25,17075,9.4,9.4,Low,1,0,2.004435482383677,1.1948513637437503,2.0153969562562946
0,161.0,peugot,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,16630,12.368421052631579,9.791666666666666,Low,0,1,1.0143505413218785,1.1948513637437503,1.1983441361523837
0,161.0,peugot,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,17950,8.392857142857142,7.121212121212121,Low,1,0,1.0143505413218785,1.1948513637437503,1.1983441361523837
0,161.0,peugot,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600.0,18,24,18150,13.055555555555555,9.791666666666666,Low,0,1,1.0143505413218785,1.1472656446804432,0.9123756491160138
1,119.0,plymouth,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5572,6.351351351351352,5.7317073170731705,Low,0,1,-1.3715918576303192,-0.9940917131681937,-1.2119616831541553
1,119.0,plymouth,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,9.791666666666666,7.833333333333333,Low,0,1,-1.3715918576303192,-0.9940917131681937,-1.2119616831541553
1,154.0,plymouth,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229,7.580645161290323,6.184210526315789,Low,0,1,-1.3715918576303192,-0.9940917131681937,-1.2936669651645447
1,154.0,plymouth,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692,7.580645161290323,6.184210526315789,Low,0,1,-0.5600468239731085,-0.9940917131681937,-1.2119616831541553
1,154.0,plymouth,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609,7.580645161290323,6.184210526315789,Low,0,1,-0.5600468239731085,-0.9940917131681937,-1.2119616831541553
-1,74.0,plymouth,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,24,30,8921,9.791666666666666,7.833333333333333,Low,0,1,0.03238105059665401,-0.6134059606617708,2.464776007313443
3,,plymouth,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,12764,12.368421052631579,9.791666666666666,Low,0,1,-0.08123525411535595,0.1955512634143823,-1.4570775291853262
3,186.0,porsche,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143.0,5500.0,19,27,22018,12.368421052631579,8.703703703703704,Median,0,1,-0.4301996185879552,1.1472656446804432,-1.4570775291853262
3,,porsche,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,32528,13.823529411764707,9.4,High,0,1,-0.4301996185879552,-0.4230630844085559,-0.8851405551125894
3,,porsche,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,34028,13.823529411764707,9.4,High,0,1,-0.4301996185879552,-0.4230630844085559,-0.8851405551125894
3,,porsche,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,37028,13.823529411764707,9.4,High,0,1,-0.4301996185879552,-0.4230630844085559,-0.8851405551125894
0,,renault,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,,,23,31,9295,10.217391304347826,7.580645161290323,Low,0,1,0.5923471238201299,0.2907227015409897,0.5855545210744506
2,,renault,std,two,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,four,132,mpfi,3.46,3.9,8.7,,,23,31,9895,10.217391304347826,7.580645161290323,Low,0,1,0.21092095800124178,0.33830842060429006,-1.3345196061697409
3,150.0,saab,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110.0,5250.0,21,28,11850,11.19047619047619,8.392857142857142,Low,0,1,1.0062350909853068,0.2907227015409897,0.9532282901212099
2,104.0,saab,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,12170,11.19047619047619,8.392857142857142,Low,0,1,1.0062350909853068,0.2907227015409897,0.9532282901212099
3,150.0,saab,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110.0,5250.0,21,28,15040,11.19047619047619,8.392857142857142,Low,0,1,1.0062350909853068,0.2907227015409897,0.9532282901212099
2,104.0,saab,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,15510,11.19047619047619,8.392857142857142,Low,0,1,1.0062350909853068,0.2907227015409897,0.9532282901212099
3,150.0,saab,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18150,12.368421052631579,9.038461538461538,Low,0,1,1.0062350909853068,0.2907227015409897,0.9532282901212099
2,104.0,saab,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18620,12.368421052631579,9.038461538461538,Median,0,1,1.0062350909853068,0.2907227015409897,0.9532282901212099
2,83.0,subaru,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69.0,4900.0,31,36,5118,7.580645161290323,6.527777777777778,Low,0,1,-1.4040536589766082,-1.1844345894214052,-0.027235094003482462
2,83.0,subaru,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7053,9.038461538461538,7.580645161290323,Low,0,1,-1.3228991556108871,-1.0892631512947977,-0.027235094003482462
2,83.0,subaru,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7603,9.038461538461538,7.580645161290323,Low,0,1,-1.3715918576303192,-0.9940917131681937,0.7898177261004283
0,102.0,subaru,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4800.0,32,37,7126,7.34375,6.351351351351352,Low,0,1,-0.17862065815422032,-0.232720208155341,-0.5174667860658301
0,102.0,subaru,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4400.0,28,33,7775,8.392857142857142,7.121212121212121,Low,0,1,-0.17862065815422032,-0.232720208155341,-0.5174667860658301
0,102.0,subaru,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,26,32,9960,9.038461538461538,7.34375,Low,0,1,-0.17862065815422032,-0.232720208155341,-0.5174667860658301
0,102.0,subaru,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,24,25,9233,9.791666666666666,9.4,Low,0,1,-0.17862065815422032,-0.232720208155341,0.21788075202768845
0,102.0,subaru,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,24,29,11259,9.791666666666666,8.10344827586207,Low,0,1,-0.17862065815422032,-0.232720208155341,0.21788075202768845
0,89.0,subaru,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,28,32,7463,8.392857142857142,7.34375,Low,0,1,-0.056888903105638704,-0.232720208155341,-0.3132035810398524
0,89.0,subaru,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,25,31,10198,9.4,7.580645161290323,Low,0,1,-0.056888903105638704,-0.232720208155341,-0.3132035810398524
0,85.0,subaru,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,23,29,8013,10.217391304347826,8.10344827586207,Low,0,1,-0.04877345276906706,-0.232720208155341,0.46299659805886223
0,85.0,subaru,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,23,23,11694,10.217391304347826,10.217391304347826,Low,0,1,-0.04877345276906706,-0.232720208155341,0.46299659805886223
1,87.0,toyota,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,35,39,5348,6.714285714285714,6.0256410256410255,Low,0,1,-1.2579755529183116,-1.0892631512947977,0.29958603403808065
1,87.0,toyota,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38,6338,7.580645161290323,6.184210526315789,Low,0,1,-1.2579755529183116,-1.0892631512947977,0.29958603403808065
1,74.0,toyota,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38,6488,7.580645161290323,6.184210526315789,Low,0,1,-1.2579755529183116,-1.0892631512947977,0.29958603403808065
0,77.0,toyota,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,37,6918,7.580645161290323,6.351351351351352,Low,0,1,-0.3652760158953797,-1.0892631512947977,2.178807520277076
0,81.0,toyota,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,7898,8.703703703703704,7.34375,Low,0,1,-0.3652760158953797,-1.0892631512947977,2.178807520277076
0,91.0,toyota,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,8778,8.703703703703704,7.34375,Low,0,1,-0.3652760158953797,-1.0892631512947977,2.178807520277076
0,91.0,toyota,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,6938,7.833333333333333,6.351351351351352,Low,0,1,-0.6412013273388295,-0.7085773987883714,-0.3132035810398524
0,91.0,toyota,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,7198,7.833333333333333,6.351351351351352,Low,0,1,-0.6412013273388295,-0.7085773987883714,-0.39490886305024464
0,91.0,toyota,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,34,36,7898,6.911764705882353,6.527777777777778,Low,1,0,-0.6412013273388295,-0.7085773987883714,-0.3132035810398524
0,91.0,toyota,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,38,47,7788,6.184210526315789,5.0,Low,1,0,-0.6412013273388295,-0.7085773987883714,-0.39490886305024464
0,91.0,toyota,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,38,47,7738,6.184210526315789,5.0,Low,0,1,-0.6412013273388295,-0.7085773987883714,-0.3132035810398524
0,91.0,toyota,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34,8358,8.392857142857142,6.911764705882353,Low,0,1,-0.6412013273388295,-0.7085773987883714,-0.39490886305024464
0,91.0,toyota,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34,9258,8.392857142857142,6.911764705882353,Low,0,1,-0.6412013273388295,-0.7085773987883714,-0.39490886305024464
1,168.0,toyota,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34,8058,8.10344827586207,6.911764705882353,Low,0,1,-0.4464305192611008,-0.8989202750415862,-0.47661414506063393
1,168.0,toyota,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34,8238,8.10344827586207,6.911764705882353,Low,0,1,-0.4464305192611008,-0.8989202750415862,-0.47661414506063393
1,168.0,toyota,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29,9298,9.038461538461538,8.10344827586207,Low,0,1,-0.4464305192611008,-0.8989202750415862,-0.47661414506063393
1,168.0,toyota,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29,9538,9.038461538461538,8.10344827586207,Low,0,1,-0.4464305192611008,-0.8989202750415862,-0.47661414506063393
2,134.0,toyota,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,8449,9.791666666666666,7.833333333333333,Low,0,1,0.16222825598180726,-0.13754877002874033,-0.7217299910918078
2,134.0,toyota,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,9639,9.791666666666666,7.833333333333333,Low,0,1,0.16222825598180726,-0.13754877002874033,-0.7217299910918078
2,134.0,toyota,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,9989,9.791666666666666,7.833333333333333,Low,0,1,0.16222825598180726,-0.13754877002874033,-0.7217299910918078
2,134.0,toyota,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,11199,9.791666666666666,7.833333333333333,Low,0,1,0.16222825598180726,-0.13754877002874033,-0.7217299910918078
2,134.0,toyota,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,11549,9.791666666666666,7.833333333333333,Low,0,1,0.16222825598180726,-0.13754877002874033,-0.7217299910918078
2,134.0,toyota,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,17669,9.791666666666666,7.833333333333333,Low,0,1,0.16222825598180726,-0.13754877002874033,-0.3132035810398524
-1,65.0,toyota,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,29,34,8948,8.10344827586207,6.911764705882353,Low,0,1,0.1135355539623751,0.2907227015409897,0.46299659805886223
-1,65.0,toyota,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73.0,4500.0,30,33,10698,7.833333333333333,7.121212121212121,Low,1,0,0.1135355539623751,0.2907227015409897,0.46299659805886223
-1,65.0,toyota,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,9988,8.703703703703704,7.34375,Low,0,1,0.1135355539623751,0.2907227015409897,0.054470188006906874
-1,65.0,toyota,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,10898,8.703703703703704,7.34375,Low,0,1,0.1135355539623751,0.2907227015409897,0.46299659805886223
-1,65.0,toyota,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,11248,8.703703703703704,7.34375,Low,0,1,0.1135355539623751,0.2907227015409897,0.054470188006906874
3,197.0,toyota,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,20,24,16558,11.75,9.791666666666666,Low,0,1,0.754656130551572,0.8617513303006276,-0.7217299910918078
3,197.0,toyota,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,19,24,15998,12.368421052631579,9.791666666666666,Low,0,1,0.754656130551572,0.8617513303006276,-0.7217299910918078
-1,90.0,toyota,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156.0,5200.0,20,24,15690,11.75,9.791666666666666,Low,0,1,1.1036204950241737,0.2907227015409897,0.1361754700172991
-1,,toyota,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156.0,5200.0,19,24,15750,12.368421052631579,9.791666666666666,Low,0,1,1.1036204950241737,0.2907227015409897,0.1361754700172991
2,122.0,volkswagen,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,37,46,7775,6.351351351351352,5.108695652173913,Low,1,0,-0.20296700916393756,-0.18513448909204067,0.7898177261004283
2,122.0,volkswagen,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,7975,8.703703703703704,6.911764705882353,Low,0,1,-0.20296700916393756,-0.18513448909204067,0.7898177261004283
2,94.0,volkswagen,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,37,46,7995,6.351351351351352,5.108695652173913,Low,1,0,-0.20296700916393756,-0.18513448909204067,0.7898177261004283
2,94.0,volkswagen,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,8195,8.703703703703704,6.911764705882353,Low,0,1,-0.20296700916393756,-0.18513448909204067,0.7898177261004283
2,94.0,volkswagen,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,8495,8.703703703703704,6.911764705882353,Low,0,1,-0.20296700916393756,-0.18513448909204067,0.7898177261004283
2,94.0,volkswagen,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23.0,68.0,4500.0,37,42,9495,6.351351351351352,5.595238095238095,Low,1,0,-0.20296700916393756,-0.18513448909204067,0.7898177261004283
2,94.0,volkswagen,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100.0,5500.0,26,32,9995,9.038461538461538,7.34375,Low,0,1,-0.20296700916393756,-0.18513448909204067,0.7898177261004283
3,,volkswagen,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90.0,5500.0,24,29,11595,9.791666666666666,8.10344827586207,Low,0,1,-1.209282850898877,-0.8037488369149789,0.7489650850952322
3,256.0,volkswagen,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90.0,5500.0,24,29,9980,9.791666666666666,8.10344827586207,Low,0,1,-0.689894029358264,-0.8989202750415862,-0.9668458371229816
0,,volkswagen,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,24,13295,12.368421052631579,9.791666666666666,Low,0,1,0.48684626944469156,0.4810655777942046,0.5447018800692545
0,,volkswagen,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,four,97,idi,3.01,3.4,23.0,68.0,4500.0,33,38,13845,7.121212121212121,6.184210526315789,Low,1,0,0.48684626944469156,0.4810655777942046,0.5447018800692545
0,,volkswagen,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88.0,5500.0,25,31,12290,9.4,7.580645161290323,Low,0,1,0.7221943292052831,0.4810655777942046,0.5447018800692545
-2,103.0,volvo,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,12940,10.217391304347826,8.392857142857142,Low,0,1,1.1847749983898948,0.6238227349841123,0.9940809311264059
-1,74.0,volvo,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,13415,10.217391304347826,8.392857142857142,Low,0,1,1.1847749983898948,0.6238227349841123,1.5251652641939468
-2,103.0,volvo,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,24,28,15985,9.791666666666666,8.392857142857142,Low,0,1,1.1847749983898948,0.6238227349841123,0.9940809311264059
-1,74.0,volvo,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,24,28,16515,9.791666666666666,8.392857142857142,Low,0,1,1.1847749983898948,0.6238227349841123,1.5251652641939468
-2,103.0,volvo,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22,18420,13.823529411764707,10.681818181818182,Low,0,1,1.1847749983898948,0.6238227349841123,0.9940809311264059
-1,74.0,volvo,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22,18950,13.823529411764707,10.681818181818182,Median,0,1,1.1847749983898948,0.6238227349841123,1.5251652641939468
-1,95.0,volvo,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,16845,10.217391304347826,8.392857142857142,Low,0,1,1.1847749983898948,1.4327799590602655,0.708112444090036
-1,95.0,volvo,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160.0,5300.0,19,25,19045,12.368421052631579,9.4,Median,0,1,1.1847749983898948,1.3851942399969583,0.708112444090036
-1,95.0,volvo,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134.0,5500.0,18,23,21485,13.055555555555555,10.217391304347826,Median,0,1,1.1847749983898948,1.4327799590602655,0.708112444090036
-1,95.0,volvo,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23.0,106.0,4800.0,26,27,22470,9.038461538461538,8.703703703703704,Median,1,0,1.1847749983898948,1.4327799590602655,0.708112444090036
-1,95.0,volvo,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,19,25,22625,12.368421052631579,9.4,Median,0,1,1.1847749983898948,1.4327799590602655,0.708112444090036
